Realname,Name,Date,Air_Temp_Avg,sum(Heating_kWh),sum(Cooling_kWh),sum(Electricity_kWh),sum(Natural_Gas_kWh),sum(Domestic_Water_m3)
ENG,b2,2018-10,3.5935483870967735,1169184.26868,172724.3658152,372289.358,72952.83614000001,2166.14
ENG,b2,2018-11,-0.6566666666666667,1180009.27734,116404.89829330004,333300.64999999944,66094.49732000002,2289.98
ENG,b2,2018-12,-3.5161290322580645,1169992.60266,124572.78901420003,335464.94200000167,41477.81096,1923.98
ENG,b2,2019-01,-3.938709677419355,1196437.06826,84592.03364480003,339463.94899999956,7991.673060000003,2226.88
ENG,b2,2019-02,-18.524999999999995,1489737.3029000002,3302.9109589,343681.5530000003,67833.3876,2056.87
ENG,b2,2019-03,-3.293548387096774,1391578.89104,3824.5774635000002,697976.6339999982,52197.25963999999,2248.02
ENG,b2,2019-04,4.826666666666667,1015545.25688,5550.770146400001,860025.2070000013,70769.50106000001,1869.48
ENG,b2,2019-05,8.90967741935484,822181.2133000001,199848.0933437,833999.3089999999,62877.82808000001,801.4199999999998
ENG,b2,2019-06,13.606666666666664,589500.4716000002,317668.5249051,776671.8400000012,11855.56504,931.3100000000001
ENG,b2,2019-07,15.66451612903226,180191.81082,308164.13542,803897.5709999991,883.3340400000004,1536.1999999999998
ENG,b2,2019-08,15.27741935483871,159027.90500000003,346564.16614000004,843957.304,580.55602,2036.67
ENG,b2,2019-09,10.736666666666668,280750.2246000001,247444.64240000004,857390.716000001,2002.77938,2567.68
ENG,b2,2019-10,2.016129032258065,456325.36506000004,137350.6876662,941863.098999999,83613.95578000002,5042.2699999999995
ENG,b2,2019-11,-2.25,519439.30444000004,96986.00919509999,943323.3150000018,81952.84334000002,4287.730000000001
ENG,b2,2019-12,-4.864516129032258,583561.5779600001,109183.6271285,930389.8640000005,58444.491200000004,2299.37
ENG,b2,2020-01,-8.803225806451614,708497.7890199999,129458.28375110003,984930.8140000002,74825.05986,368.14
ENG,b2,2020-02,-3.668965517241378,542672.65636,24612.1084586,869629.7789999973,38808.36438000001,530.9999999999999
ENG,b2,2020-03,-4.5516129032258075,684161.6584400001,41747.97392150001,819526.251000003,7144.450160000001,763.17
ENG,b2,2020-04,2.2766666666666664,544719.88022,74355.0611697,716124.1059999987,936.1140800000001,560.7599999999999
ENG,b2,2020-05,9.509677419354837,393678.0967400001,76594.11192320002,710348.8550000023,159.72568000000004,538.9
ENG,b2,2020-06,13.783333333333335,229044.63221999997,148720.39267830004,703112.9310000013,19.44446,639.3000000000001
ENG,b2,2020-07,16.60322580645161,181320.98031999997,339972.68610520003,736961.6634999999,72.22228000000001,260.14000000000004
ENG,b2,2020-08,17.22258064516129,230186.29530000006,376191.8904809,757755.9069999992,0.0,323.55000000000007
ENG,b2,2020-09,12.62,318264.13962000015,214722.9181494,756796.5110000004,127.77788000000001,370.0800000000001
ENG,b2,2020-10,2.4870967741935486,561431.00656,62951.66583600001,803784.8759999997,2805.5578000000005,329.49
ENG,b2,2020-11,-0.6799999999999997,600682.4237,28826.470445200004,779340.1159999992,2050.0016400000004,494.36000000000007
ENG,b2,2020-12,-2.464516129032258,641911.6240000001,11476.663101200002,776099.6360000009,447.22258000000016,470.22
ENG,b2,2021-01,-4.529032258064516,831357.6095300001,8033.078028700001,800338.8049999991,458.3337,548.62
ENG,b2,2021-02,-12.628571428571428,1003373.0249200002,10911.035936100001,774569.6430000013,2005.55716,500.3450000000001
ENG,b2,2021-03,1.7967741935483867,787622.8523200001,30608.342550800007,839505.4780000008,469.44482000000005,682.4350000000002
ENG,b2,2021-04,4.203333333333333,495112.8960900001,72551.20445715,766295.7819999995,88.88896000000001,515.7799999999999
ENG,b2,2021-05,8.996774193548385,435898.95983000007,141929.92313495,789913.4950000015,977.7785600000002,467.46000000000015
ENG,b2,2021-06,17.540000000000003,301079.40397000004,368627.7225567001,775781.4160000003,41.6667,470.71999999999986
ENG,b2,2021-07,19.3483870967742,200355.71584000005,374635.6794917,767828.5199999987,372.22252000000003,504.59999999999985
ENG,b2,2021-08,16.609677419354842,247314.08674000003,270368.31956244993,747990.912000002,19.444460000000003,640.5799999999999
ENG,b2,2021-09,12.993333333333332,281582.16971000005,167954.63415095003,759678.9559999994,127.77788000000001,1534.4500000000005
